"","edit_words_uni","nchar.edit_words_uni."
"1","california",10
"2","is",2
"3","approaching",11
"4","an",2
"5","energy",6
"6","crossroads",10
"7","in",2
"8","three",5
"9","years",5
"10","its",3
"11","last",4
"12","nuclear",7
"13","plant",5
"14","will",4
"15","begin",5
"16","to",2
"17","power",5
"18","down",4
"19","and",3
"20","the",3
"21","state",5
"22","lose",4
"23","largest",7
"24","single",6
"25","source",6
"26","of",2
"27","emissions-free",14
"28","electricity",11
"29","a",1
"30","2018",4
"31","law",3
"32","requires",8
"33","regulators",10
"34","avoid",5
"35","any",3
"36","increase",8
"37","greenhouse",10
"38","gases",5
"39","as",2
"40","result",6
"41","closing",7
"42","diablo",6
"43","canyon",6
"44","on",2
"45","central",7
"46","coast",5
"47","but",3
"48","if",2
"49","they",4
"50","dont",4
"51","move",4
"52","more",4
"53","quickly",7
"54","replace",7
"55","with",4
"56","renewable",9
"57","from",4
"58","wind",4
"59","solar",5
"60","geothermal",10
"61","void",4
"62","almost",6
"63","certainly",9
"64","be",2
"65","filled",6
"66","by",2
"67","burning",7
"68","natural",7
"69","gas",3
"70","which",5
"71","increased",9
"72","year",4
"73","account",7
"74","for",3
"75","nearly",6
"76","half",4
"77","californias",11
"78","in-state",8
"79","generation",10
"80","cant",4
"81","allow",5
"82","retirement",10
"83","canyons",7
"84","reactors",8
"85","prolong",7
"86","reliance",8
"87","plants",6
"88","or",2
"89","planet-warming",14
"90","health-damaging",15
"91","emissions",9
"92","states",6
"93","preparations",12
"94","shutdown",8
"95","around-the-clock",16
"96","that",4
"97","supplies",8
"98","than",4
"99","8%",2
"100","have",4
"101","not",3
"102","inspired",8
"103","confidence",10
"104","there",5
"105","been",4
"106","no",2
"107","assurances",10
"108","uptick",6
"109","carbon",6
"110","avoided",7
