"","X","Word","Frequency","Length","Class","FreqSingular","FreqPlural"
"1",1,"almond",4.204693,6,"plant",24,42
"2",2,"ant",5.347108,3,"animal",69,140
"3",3,"apple",6.304449,5,"plant",315,231
"4",4,"apricot",3.828641,7,"plant",26,19
"5",5,"asparagus",3.663562,9,"plant",19,19
"6",6,"avocado",3.433987,7,"plant",24,6
"7",7,"badger",5.056246,6,"animal",53,78
"8",8,"banana",5.023881,6,"plant",74,77
"9",9,"bat",5.918894,3,"animal",155,103
"10",10,"beaver",3.951244,6,"animal",37,14
"11",11,"bee",5.700444,3,"animal",118,180
"12",12,"beetroot",3.555348,8,"plant",15,19
"13",13,"blackberry",4.060443,10,"plant",26,31
"14",14,"blueberry",2.484907,9,"plant",7,4
"15",15,"broccoli",2.833213,8,"plant",16,0
"16",16,"bunny",3.332205,5,"animal",19,8
"17",17,"butterfly",5.214936,9,"animal",88,95
"18",18,"camel",6.109248,5,"animal",146,303
"19",19,"carrot",4.976734,6,"plant",45,99
"20",20,"cat",7.086738,3,"animal",739,456
"21",21,"cherry",4.997212,6,"plant",83,49
"22",22,"chicken",6.59987,7,"animal",534,200
"23",23,"clove",3.663562,5,"plant",16,22
"24",24,"crocodile",4.615121,9,"animal",35,65
"25",25,"cucumber",4.454347,8,"plant",54,31
"26",26,"dog",7.667626,3,"animal",1233,828
"27",27,"dolphin",4.007333,7,"animal",24,30
"28",28,"donkey",5.541264,6,"animal",162,92
"29",29,"eagle",5.117994,5,"animal",129,37
"30",30,"eggplant",1.791759,8,"plant",4,1
"31",31,"elephant",6.063785,8,"animal",113,316
"32",32,"fox",5.652489,3,"animal",177,100
"33",33,"frog",5.129899,4,"animal",74,94
"34",34,"gherkin",2.079442,7,"plant",4,3
"35",35,"goat",6.228511,4,"animal",209,297
"36",36,"goose",5.267858,5,"animal",103,85
"37",37,"grape",5.192957,5,"plant",37,142
"38",38,"gull",4.418841,4,"animal",23,59
"39",39,"hedgehog",3.637586,8,"animal",21,16
"40",40,"horse",7.77191,5,"animal",1518,854
"41",41,"kiwi",3.044522,4,"plant",11,9
"42",42,"leek",3.332205,4,"plant",5,22
"43",43,"lemon",5.631212,5,"plant",233,45
"44",44,"lettuce",4.812184,7,"plant",115,7
"45",45,"lion",6.098074,4,"animal",152,292
"46",46,"magpie",2.995732,6,"animal",13,6
"47",47,"melon",4.127134,5,"plant",38,23
"48",48,"mole",4.60517,4,"animal",69,30
"49",49,"monkey",5.783825,6,"animal",162,162
"50",50,"moose",2.70805,5,"animal",7,7
"51",51,"mouse",5.805135,5,"animal",146,184
"52",52,"mushroom",5.537334,8,"plant",90,137
"53",53,"mustard",4.442651,7,"plant",84,0
"54",54,"olive",5.587249,5,"plant",160,78
"55",55,"orange",6.378426,6,"plant",258,93
"56",56,"owl",4.859812,3,"animal",54,74
"57",57,"paprika",2.484907,7,"plant",11,0
"58",58,"peanut",4.59512,6,"plant",49,49
"59",59,"pear",4.727388,4,"plant",44,68
"60",60,"pig",6.660575,3,"animal",320,460
"61",61,"pigeon",5.26269,6,"animal",38,154
"62",62,"pineapple",3.988984,9,"plant",44,9
"63",63,"potato",6.461468,6,"plant",206,433
"64",64,"radish",3.044522,6,"plant",11,9
"65",65,"reindeer",4.043051,8,"animal",28,28
"66",66,"shark",5.880533,5,"animal",246,111
"67",67,"sheep",6.577861,5,"animal",359,359
"68",68,"snake",6.120297,5,"animal",251,161
"69",69,"spider",4.844187,6,"animal",73,53
"70",70,"squid",3.970292,5,"animal",23,29
"71",71,"squirrel",4.70953,8,"animal",63,47
"72",72,"stork",3.044522,5,"animal",13,7
"73",73,"strawberry",4.75359,10,"plant",50,65
"74",74,"swan",4.962845,4,"animal",88,46
"75",75,"tomato",5.545177,6,"plant",123,132
"76",76,"tortoise",4.624973,8,"animal",71,30
"77",77,"vulture",4.248495,7,"animal",21,48
"78",78,"walnut",4.49981,6,"plant",70,19
"79",79,"wasp",4.682131,4,"animal",43,64
"80",80,"whale",5.298317,5,"animal",104,95
"81",81,"woodpecker",2.890372,10,"animal",11,6
